mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVML__C,param_SVML__cache_size,param_SVML__class_weight,param_SVML__kernel,param_SVML__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08158454895019532,0.002977467779124667,0.01103663444519043,0.001423620658399808,0.1,8000,balanced,linear,40000,"{'SVML__C': 0.1, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.655994059236805,0.6259554796225547,0.6535868280201597,0.6364526410111171,0.6405193050516466,0.6425052337859697,0.01113263446712534,10
0.08154082298278809,0.002272359234938313,0.010271787643432617,0.0006591507192820699,0.2,8000,balanced,linear,40000,"{'SVML__C': 0.2, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.660970178863721,0.631041353673946,0.6584954407088397,0.6433984570085489,0.6488957772166297,0.6485627392661188,0.010833584577997107,9
0.0938000202178955,0.010161980112066805,0.011432600021362305,0.0015510547134710985,0.30000000000000004,8000,balanced,linear,40000,"{'SVML__C': 0.30000000000000004, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6627622935590615,0.6330029211527548,0.6601874880861662,0.641403136060622,0.6556480740679363,0.6506030833586626,0.011488451759947194,7
0.08403868675231933,0.0018252508088805002,0.010041379928588867,0.00039230684623353234,0.4,8000,balanced,linear,40000,"{'SVML__C': 0.4, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6610702461817349,0.6348047229545566,0.6601874880861662,0.641403136060622,0.6591000408862399,0.6513141551728364,0.011004522784528062,5
0.08662762641906738,0.0014325475476175845,0.009785223007202148,0.00014710587851504716,0.5,8000,balanced,linear,40000,"{'SVML__C': 0.5, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6664465902677564,0.6363967478268197,0.6601456057253413,0.6430533010771238,0.6554964372826362,0.6523119672669497,0.011052617865917314,4
0.08906898498535157,0.0011164248842331402,0.010187864303588867,0.0004197965854090535,0.6,8000,balanced,linear,40000,"{'SVML__C': 0.6, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6612203247522807,0.6380887952041461,0.6618376531026678,0.6432049378624239,0.6591000408862397,0.6526911914130822,0.010007956274571636,2
0.09221553802490234,0.00183081339075712,0.010013628005981445,0.00018561240255942924,0.7000000000000001,8000,balanced,linear,40000,"{'SVML__C': 0.7000000000000001, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6630124394476212,0.6397308313289409,0.6618376531026678,0.6380609236667939,0.6609437250488664,0.6527197160813,0.011316328329833588,1
0.09576654434204102,0.004721204091273703,0.009781074523925782,0.00018769962928109375,0.8,8000,balanced,linear,40000,"{'SVML__C': 0.8, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6630124394476212,0.6415326331307427,0.6601874880861662,0.6379092868814937,0.6589902864617645,0.652330045765506,0.010438245702888349,3
0.09572010040283203,0.0025314230231379786,0.010030889511108398,0.00023509535250663935,0.9,8000,balanced,linear,40000,"{'SVML__C': 0.9, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6612203247522807,0.6398405857534161,0.6601874880861662,0.6344573200631901,0.6540397914122597,0.6499533558380324,0.010869950727743811,8
0.09872655868530274,0.0019065396703379838,0.010108566284179688,0.0003204708135634816,1.0,8000,balanced,linear,40000,"{'SVML__C': 1.0, 'SVML__cache_size': 8000, 'SVML__class_weight': 'balanced', 'SVML__kernel': 'linear', 'SVML__max_iter': 40000}",0.6630124394476212,0.6416423875552179,0.6601874880861662,0.6344573200631901,0.6540397914122597,0.6506732440575067,0.010942292154571072,6
